Table 1. By QUINTILES OF INCOME BEFORE TAXES: Average annual expenditures and characteristics of all consumer units,
Consumer Expenditure Survey, 1991

                                             All                                                                Incomplete
                   Item                    consumer   Total     Lowest    Second    Third     Fourth   Highest  reporting
 Wages and salaries.......................    25553     25553      1764      7788     18843     34000     65232         0
 Self-employment income...................     2552      2552      -148       409      1221      1973      9283         0
 Soc. Sec., priv. and gov. retirement.....     3584      3584      2887      4847      4154      2911      3122         0
 Int., divid., rent. inc., property inc...     1164      1164       127       470       964      1135      3118         0
 Unemp. and workers' compen., vet. ben....      245       245       100       232       341       317       233         0
 Pub. ass., supp. sec. inc., foodstamps...      389       389       940       653       166       138        50         0
 Regular contributions for support........      284       284       165       299       254       308       394         0
 Other income.............................      130       130       147       123       130        85       163         0
Personal taxes 1/.........................     3172      3172       333       513      2099      3632      9263         0
 Federal income taxes.....................     2431      2431       215       349      1556      2768      7254         0
 State and local income taxes.............      612       612        59       107       421       730      1739         0
 Other taxes..............................      128       128        59        58       122       133       269         0
Income after taxes 1/.....................    30729     30729      5648     14308     23973     37237     72332         0
Net change in total assets and liabilities      478       300      -750     -1128     -1272      -101      4740      1556
 Net change in total assets...............     3005      3194      -121       197       896      3635     11338      1861
 Net change in total liabilities..........     2526      2894       629      1325      2168      3736      6597       305
Other money receipts......................      317       345       108       191       316       317       790       148
Mortgage principal paid, owned property...     -578      -576      -174      -197      -390      -630     -1488      -590
Estimated market value of owned home......    67519     65747     27588     38120     49871     71388    141520     78236
Est. monthly rental value of owned home...      413       408       192       259       329       461       798       444
Gifts of goods and services...............     1000      1007       482       458       713      1086      2295       982
  Food....................................       79        80        26        32        61        86       194        72
  Housing.................................      272       279       133       125       201       282       652       246
    Housekeeping supplies.................       41        42        20        30        34        54        72        35
    Household textiles....................       13        14         4         7        11        13        32        10
    Appliances and misc. housewares.......       30        31         7        13        23        40        70        25
      Major appliances....................        6         6         2         3         7         8        10         4
      Small appl. and misc. housewares....       24        25         5         9        17        32        60        21
    Miscellaneous household equipment.....       73        78        20        25        67        90       190        53
    Other housing.........................      116       114        82        50        67        86       288       123
  Apparel and services....................      259       263       119       159       215       323       500       237
    Males 2 and over......................       72        74        34        52        52        89       143        64
    Females 2 and over....................       99        99        41        52        85       114       204        97
    Children under 2......................       36        37        24        19        33        47        62        31
    Other apparel products and services...       52        53        20        36        44        73        91        44
      Jewelry and watches.................       27        28         9        13        20        39        56        22
      All other apparel products and serv.       25        25        10        22        24        34        36        23
  Transportation..........................       56        60        11        10        29        29       219        35
  Health care.............................       29        27        61        12        12        15        39        42
  Entertainment...........................       70        72        26        39        62        89       144        60
    Toys, games, hobbies, and tricycles...       28        29        11        13        32        38        50        21
    Other entertainment...................       43        43        15        26        30        51        94        39
  Education...............................      116       100        20         5        31       101       344       211
  All other gifts.........................      118       126        86        77       102       161       202        80
__________________________________________
1/ Components of income and taxes are derived from "Complete income reporters" only; see glossary	
