	series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
379	CXU001220LB0105M              	U	ADDENDA	CHGASLI	1220	LB01	05	M	Assets taken from farm or business by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
380	CXU001220LB0106M              	U	ADDENDA	CHGASLI	1220	LB01	06	M	Assets taken from farm or business by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
501	CXU002010LB0102M              	U	ADDENDA	CHGASLI	2010	LB01	02	M	Change in savings account by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
502	CXU002010LB0103M              	U	ADDENDA	CHGASLI	2010	LB01	03	M	Change in savings account by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
503	CXU002010LB0104M              	U	ADDENDA	CHGASLI	2010	LB01	04	M	Change in savings account by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
504	CXU002010LB0105M              	U	ADDENDA	CHGASLI	2010	LB01	05	M	Change in savings account by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
505	CXU002010LB0106M              	U	ADDENDA	CHGASLI	2010	LB01	06	M	Change in savings account by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
626	CXU002020LB0102M              	U	ADDENDA	CHGASLI	2020	LB01	02	M	Change in checking account by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
627	CXU002020LB0103M              	U	ADDENDA	CHGASLI	2020	LB01	03	M	Change in checking account by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
628	CXU002020LB0104M              	U	ADDENDA	CHGASLI	2020	LB01	04	M	Change in checking account by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
629	CXU002020LB0105M              	U	ADDENDA	CHGASLI	2020	LB01	05	M	Change in checking account by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
630	CXU002020LB0106M              	U	ADDENDA	CHGASLI	2020	LB01	06	M	Change in checking account by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
751	CXU002030LB0102M              	U	ADDENDA	CHGASLI	2030	LB01	02	M	Change in U.S. savings bonds by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
752	CXU002030LB0103M              	U	ADDENDA	CHGASLI	2030	LB01	03	M	Change in U.S. savings bonds by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
753	CXU002030LB0104M              	U	ADDENDA	CHGASLI	2030	LB01	04	M	Change in U.S. savings bonds by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
754	CXU002030LB0105M              	U	ADDENDA	CHGASLI	2030	LB01	05	M	Change in U.S. savings bonds by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
755	CXU002030LB0106M              	U	ADDENDA	CHGASLI	2030	LB01	06	M	Change in U.S. savings bonds by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
876	CXU002120LB0102M              	U	EXPEND	INSPENSN	2120	LB01	02	M	Other non-health insurance by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
877	CXU002120LB0103M              	U	EXPEND	INSPENSN	2120	LB01	03	M	Other non-health insurance by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
878	CXU002120LB0104M              	U	EXPEND	INSPENSN	2120	LB01	04	M	Other non-health insurance by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
879	CXU002120LB0105M              	U	EXPEND	INSPENSN	2120	LB01	05	M	Other non-health insurance by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
880	CXU002120LB0106M              	U	EXPEND	INSPENSN	2120	LB01	06	M	Other non-health insurance by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
1034	CXU003000LB0102M              	U	ADDENDA	CHGASLI	3000	LB01	02	M	Change in money owed to consumer unit by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
1035	CXU003000LB0103M              	U	ADDENDA	CHGASLI	3000	LB01	03	M	Change in money owed to consumer unit by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
1036	CXU003000LB0104M              	U	ADDENDA	CHGASLI	3000	LB01	04	M	Change in money owed to consumer unit by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
1037	CXU003000LB0105M              	U	ADDENDA	CHGASLI	3000	LB01	05	M	Change in money owed to consumer unit by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
1038	CXU003000LB0106M              	U	ADDENDA	CHGASLI	3000	LB01	06	M	Change in money owed to consumer unit by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
1159	CXU003100LB0102M              	U	ADDENDA	CHGASLI	3100	LB01	02	M	Change in surrender of insurance policies by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
1160	CXU003100LB0103M              	U	ADDENDA	CHGASLI	3100	LB01	03	M	Change in surrender of insurance policies by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
1161	CXU003100LB0104M              	U	ADDENDA	CHGASLI	3100	LB01	04	M	Change in surrender of insurance policies by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
1162	CXU003100LB0105M              	U	ADDENDA	CHGASLI	3100	LB01	05	M	Change in surrender of insurance policies by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
1163	CXU003100LB0106M              	U	ADDENDA	CHGASLI	3100	LB01	06	M	Change in surrender of insurance policies by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
1284	CXU005100LB0102M              	U	ADDENDA	CHGASLI	5100	LB01	02	M	Value of savings, checking, money market, and CDs by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
1285	CXU005100LB0103M              	U	ADDENDA	CHGASLI	5100	LB01	03	M	Value of savings, checking, money market, and CDs by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
1286	CXU005100LB0104M              	U	ADDENDA	CHGASLI	5100	LB01	04	M	Value of savings, checking, money market, and CDs by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
1287	CXU005100LB0105M              	U	ADDENDA	CHGASLI	5100	LB01	05	M	Value of savings, checking, money market, and CDs by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
1288	CXU005100LB0106M              	U	ADDENDA	CHGASLI	5100	LB01	06	M	Value of savings, checking, money market, and CDs by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
1433	CXU005110LB0102M              	U	ADDENDA	CHGASLI	5110	LB01	02	M	Value of savings, checking, money market, and CDs one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
1434	CXU005110LB0103M              	U	ADDENDA	CHGASLI	5110	LB01	03	M	Value of savings, checking, money market, and CDs one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
1435	CXU005110LB0104M              	U	ADDENDA	CHGASLI	5110	LB01	04	M	Value of savings, checking, money market, and CDs one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
1436	CXU005110LB0105M              	U	ADDENDA	CHGASLI	5110	LB01	05	M	Value of savings, checking, money market, and CDs one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
1437	CXU005110LB0106M              	U	ADDENDA	CHGASLI	5110	LB01	06	M	Value of savings, checking, money market, and CDs one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
1582	CXU005200LB0102M              	U	ADDENDA	CHGASLI	5200	LB01	02	M	Value of retirement plans by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
1583	CXU005200LB0103M              	U	ADDENDA	CHGASLI	5200	LB01	03	M	Value of retirement plans by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
1584	CXU005200LB0104M              	U	ADDENDA	CHGASLI	5200	LB01	04	M	Value of retirement plans by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
1585	CXU005200LB0105M              	U	ADDENDA	CHGASLI	5200	LB01	05	M	Value of retirement plans by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
1586	CXU005200LB0106M              	U	ADDENDA	CHGASLI	5200	LB01	06	M	Value of retirement plans by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
1731	CXU005210LB0102M              	U	ADDENDA	CHGASLI	5210	LB01	02	M	Value of retirement plans one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
1732	CXU005210LB0103M              	U	ADDENDA	CHGASLI	5210	LB01	03	M	Value of retirement plans one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
1733	CXU005210LB0104M              	U	ADDENDA	CHGASLI	5210	LB01	04	M	Value of retirement plans one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
1734	CXU005210LB0105M              	U	ADDENDA	CHGASLI	5210	LB01	05	M	Value of retirement plans one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
1735	CXU005210LB0106M              	U	ADDENDA	CHGASLI	5210	LB01	06	M	Value of retirement plans one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
1880	CXU005300LB0102M              	U	ADDENDA	CHGASLI	5300	LB01	02	M	Surrender value of whole life insurance policies by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
1881	CXU005300LB0103M              	U	ADDENDA	CHGASLI	5300	LB01	03	M	Surrender value of whole life insurance policies by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
1882	CXU005300LB0104M              	U	ADDENDA	CHGASLI	5300	LB01	04	M	Surrender value of whole life insurance policies by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
1883	CXU005300LB0105M              	U	ADDENDA	CHGASLI	5300	LB01	05	M	Surrender value of whole life insurance policies by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
1884	CXU005300LB0106M              	U	ADDENDA	CHGASLI	5300	LB01	06	M	Surrender value of whole life insurance policies by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2029	CXU005310LB0102M              	U	ADDENDA	CHGASLI	5310	LB01	02	M	Surrender value of whole life insurance policies one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2030	CXU005310LB0103M              	U	ADDENDA	CHGASLI	5310	LB01	03	M	Surrender value of whole life insurance policies one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2031	CXU005310LB0104M              	U	ADDENDA	CHGASLI	5310	LB01	04	M	Surrender value of whole life insurance policies one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2032	CXU005310LB0105M              	U	ADDENDA	CHGASLI	5310	LB01	05	M	Surrender value of whole life insurance policies one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2033	CXU005310LB0106M              	U	ADDENDA	CHGASLI	5310	LB01	06	M	Surrender value of whole life insurance policies one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2178	CXU005400LB0102M              	U	ADDENDA	CHGASLI	5400	LB01	02	M	Amount owed on credit cards by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2179	CXU005400LB0103M              	U	ADDENDA	CHGASLI	5400	LB01	03	M	Amount owed on credit cards by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2180	CXU005400LB0104M              	U	ADDENDA	CHGASLI	5400	LB01	04	M	Amount owed on credit cards by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2181	CXU005400LB0105M              	U	ADDENDA	CHGASLI	5400	LB01	05	M	Amount owed on credit cards by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2182	CXU005400LB0106M              	U	ADDENDA	CHGASLI	5400	LB01	06	M	Amount owed on credit cards by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2327	CXU005410LB0102M              	U	ADDENDA	CHGASLI	5410	LB01	02	M	Amount owed on credit cards one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2328	CXU005410LB0103M              	U	ADDENDA	CHGASLI	5410	LB01	03	M	Amount owed on credit cards one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2329	CXU005410LB0104M              	U	ADDENDA	CHGASLI	5410	LB01	04	M	Amount owed on credit cards one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2330	CXU005410LB0105M              	U	ADDENDA	CHGASLI	5410	LB01	05	M	Amount owed on credit cards one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2331	CXU005410LB0106M              	U	ADDENDA	CHGASLI	5410	LB01	06	M	Amount owed on credit cards one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2476	CXU005420LB0102M              	U	EXPEND	MISC	5420	LB01	02	M	Finance, late, and interest charges for credit cards by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2477	CXU005420LB0103M              	U	EXPEND	MISC	5420	LB01	03	M	Finance, late, and interest charges for credit cards by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2478	CXU005420LB0104M              	U	EXPEND	MISC	5420	LB01	04	M	Finance, late, and interest charges for credit cards by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2479	CXU005420LB0105M              	U	EXPEND	MISC	5420	LB01	05	M	Finance, late, and interest charges for credit cards by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2480	CXU005420LB0106M              	U	EXPEND	MISC	5420	LB01	06	M	Finance, late, and interest charges for credit cards by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2625	CXU005500LB0102M              	U	ADDENDA	CHGASLI	5500	LB01	02	M	Amount owed on student loans by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2626	CXU005500LB0103M              	U	ADDENDA	CHGASLI	5500	LB01	03	M	Amount owed on student loans by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2627	CXU005500LB0104M              	U	ADDENDA	CHGASLI	5500	LB01	04	M	Amount owed on student loans by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2628	CXU005500LB0105M              	U	ADDENDA	CHGASLI	5500	LB01	05	M	Amount owed on student loans by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2629	CXU005500LB0106M              	U	ADDENDA	CHGASLI	5500	LB01	06	M	Amount owed on student loans by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2774	CXU005510LB0102M              	U	ADDENDA	CHGASLI	5510	LB01	02	M	Amount owed on student loans one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2775	CXU005510LB0103M              	U	ADDENDA	CHGASLI	5510	LB01	03	M	Amount owed on student loans one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2776	CXU005510LB0104M              	U	ADDENDA	CHGASLI	5510	LB01	04	M	Amount owed on student loans one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2777	CXU005510LB0105M              	U	ADDENDA	CHGASLI	5510	LB01	05	M	Amount owed on student loans one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2778	CXU005510LB0106M              	U	ADDENDA	CHGASLI	5510	LB01	06	M	Amount owed on student loans one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
2923	CXU005520LB0102M              	U	EXPEND	EDUCATN	5520	LB01	02	M	Finance, late, and interest charges for student loans by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
2924	CXU005520LB0103M              	U	EXPEND	EDUCATN	5520	LB01	03	M	Finance, late, and interest charges for student loans by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
2925	CXU005520LB0104M              	U	EXPEND	EDUCATN	5520	LB01	04	M	Finance, late, and interest charges for student loans by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
2926	CXU005520LB0105M              	U	EXPEND	EDUCATN	5520	LB01	05	M	Finance, late, and interest charges for student loans by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
2927	CXU005520LB0106M              	U	EXPEND	EDUCATN	5520	LB01	06	M	Finance, late, and interest charges for student loans by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3072	CXU005600LB0102M              	U	ADDENDA	CHGASLI	5600	LB01	02	M	Amount owed on other loans by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3073	CXU005600LB0103M              	U	ADDENDA	CHGASLI	5600	LB01	03	M	Amount owed on other loans by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3074	CXU005600LB0104M              	U	ADDENDA	CHGASLI	5600	LB01	04	M	Amount owed on other loans by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3075	CXU005600LB0105M              	U	ADDENDA	CHGASLI	5600	LB01	05	M	Amount owed on other loans by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3076	CXU005600LB0106M              	U	ADDENDA	CHGASLI	5600	LB01	06	M	Amount owed on other loans by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3221	CXU005610LB0102M              	U	ADDENDA	CHGASLI	5610	LB01	02	M	Amount owed on other loans one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3222	CXU005610LB0103M              	U	ADDENDA	CHGASLI	5610	LB01	03	M	Amount owed on other loans one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3223	CXU005610LB0104M              	U	ADDENDA	CHGASLI	5610	LB01	04	M	Amount owed on other loans one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3224	CXU005610LB0105M              	U	ADDENDA	CHGASLI	5610	LB01	05	M	Amount owed on other loans one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3225	CXU005610LB0106M              	U	ADDENDA	CHGASLI	5610	LB01	06	M	Amount owed on other loans one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3370	CXU005620LB0102M              	U	EXPEND	MISC	5620	LB01	02	M	Finance, late, and interest charges for other loans by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3371	CXU005620LB0103M              	U	EXPEND	MISC	5620	LB01	03	M	Finance, late, and interest charges for other loans by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3372	CXU005620LB0104M              	U	EXPEND	MISC	5620	LB01	04	M	Finance, late, and interest charges for other loans by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3373	CXU005620LB0105M              	U	EXPEND	MISC	5620	LB01	05	M	Finance, late, and interest charges for other loans by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3374	CXU005620LB0106M              	U	EXPEND	MISC	5620	LB01	06	M	Finance, late, and interest charges for other loans by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3519	CXU005700LB0102M              	U	ADDENDA	CHGASLI	5700	LB01	02	M	Value of other financial assets by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3520	CXU005700LB0103M              	U	ADDENDA	CHGASLI	5700	LB01	03	M	Value of other financial assets by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3521	CXU005700LB0104M              	U	ADDENDA	CHGASLI	5700	LB01	04	M	Value of other financial assets by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3522	CXU005700LB0105M              	U	ADDENDA	CHGASLI	5700	LB01	05	M	Value of other financial assets by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3523	CXU005700LB0106M              	U	ADDENDA	CHGASLI	5700	LB01	06	M	Value of other financial assets by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3668	CXU005710LB0102M              	U	ADDENDA	CHGASLI	5710	LB01	02	M	Value of other financial assets one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3669	CXU005710LB0103M              	U	ADDENDA	CHGASLI	5710	LB01	03	M	Value of other financial assets one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3670	CXU005710LB0104M              	U	ADDENDA	CHGASLI	5710	LB01	04	M	Value of other financial assets one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3671	CXU005710LB0105M              	U	ADDENDA	CHGASLI	5710	LB01	05	M	Value of other financial assets one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3672	CXU005710LB0106M              	U	ADDENDA	CHGASLI	5710	LB01	06	M	Value of other financial assets one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3817	CXU005800LB0102M              	U	ADDENDA	CHGASLI	5800	LB01	02	M	Value of stocks, bonds, and mutual funds by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3818	CXU005800LB0103M              	U	ADDENDA	CHGASLI	5800	LB01	03	M	Value of stocks, bonds, and mutual funds by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3819	CXU005800LB0104M              	U	ADDENDA	CHGASLI	5800	LB01	04	M	Value of stocks, bonds, and mutual funds by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3820	CXU005800LB0105M              	U	ADDENDA	CHGASLI	5800	LB01	05	M	Value of stocks, bonds, and mutual funds by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3821	CXU005800LB0106M              	U	ADDENDA	CHGASLI	5800	LB01	06	M	Value of stocks, bonds, and mutual funds by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
3966	CXU005810LB0102M              	U	ADDENDA	CHGASLI	5810	LB01	02	M	Value of stocks, bonds, and mutual funds one year ago by Income Quintiles: Lowest 20 percent income quintile		2013	A01	2023	A01
3967	CXU005810LB0103M              	U	ADDENDA	CHGASLI	5810	LB01	03	M	Value of stocks, bonds, and mutual funds one year ago by Income Quintiles: Second 20 percent income quintile		2013	A01	2023	A01
3968	CXU005810LB0104M              	U	ADDENDA	CHGASLI	5810	LB01	04	M	Value of stocks, bonds, and mutual funds one year ago by Income Quintiles: Third 20 percent income quintile		2013	A01	2023	A01
3969	CXU005810LB0105M              	U	ADDENDA	CHGASLI	5810	LB01	05	M	Value of stocks, bonds, and mutual funds one year ago by Income Quintiles: Fourth 20 percent income quintile		2013	A01	2023	A01
3970	CXU005810LB0106M              	U	ADDENDA	CHGASLI	5810	LB01	06	M	Value of stocks, bonds, and mutual funds one year ago by Income Quintiles: Highest 20 percent income quintile		2013	A01	2023	A01
4115	CXU006003LB0102M              	U	ADDENDA	CHGASLI	6003	LB01	02	M	Total amount owed 2nd interview, CY Q1 by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2011	A01
4116	CXU006003LB0103M              	U	ADDENDA	CHGASLI	6003	LB01	03	M	Total amount owed 2nd interview, CY Q1 by Income Quintiles: Second 20 percent income quintile		2010	A01	2011	A01
4117	CXU006003LB0104M              	U	ADDENDA	CHGASLI	6003	LB01	04	M	Total amount owed 2nd interview, CY Q1 by Income Quintiles: Third 20 percent income quintile		2010	A01	2011	A01
4118	CXU006003LB0105M              	U	ADDENDA	CHGASLI	6003	LB01	05	M	Total amount owed 2nd interview, CY Q1 by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2011	A01
4119	CXU006003LB0106M              	U	ADDENDA	CHGASLI	6003	LB01	06	M	Total amount owed 2nd interview, CY Q1 by Income Quintiles: Highest 20 percent income quintile		2010	A01	2011	A01
4231	CXU006004LB0102M              	U	ADDENDA	CHGASLI	6004	LB01	02	M	Total amount owed 5th interview, CY Q1 by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2011	A01
4232	CXU006004LB0103M              	U	ADDENDA	CHGASLI	6004	LB01	03	M	Total amount owed 5th interview, CY Q1 by Income Quintiles: Second 20 percent income quintile		2010	A01	2011	A01
4233	CXU006004LB0104M              	U	ADDENDA	CHGASLI	6004	LB01	04	M	Total amount owed 5th interview, CY Q1 by Income Quintiles: Third 20 percent income quintile		2010	A01	2011	A01
4234	CXU006004LB0105M              	U	ADDENDA	CHGASLI	6004	LB01	05	M	Total amount owed 5th interview, CY Q1 by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2011	A01
4235	CXU006004LB0106M              	U	ADDENDA	CHGASLI	6004	LB01	06	M	Total amount owed 5th interview, CY Q1 by Income Quintiles: Highest 20 percent income quintile		2010	A01	2011	A01
4347	CXU006005LB0102M              	U	ADDENDA	CHGASLI	6005	LB01	02	M	Total amount owed 2nd interview, CY+1, Q1 by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2010	A01
