Table 1. By QUINTILES OF INCOME BEFORE TAXES: Average annual expenditures and characteristics of all consumer units,
Consumer Expenditure Survey, 1995

                                             All                     Complete reporting of income        Incomplete
                   Item                   consumer   Total   Lowest   Second    Third   Fourth   Highest reporting
                                            units  complete    20       20       20       20       20       of
                                                   reporting percent  percent  percent  percent  percent  income
                                          _________________________________________________________________________
Number of consumer units (in thousands)... 103,123   83,455   16,662   16,688   16,689   16,691   16,725   19,669
    Housekeeping supplies.................      38       41       13       24       35       44       91       27
    Household textiles....................      10       11        2       10        7       16       19        8
    Appliances and misc. housewares.......      27       29       14       17       23       30       59       22
      Major appliances....................       5        5        1        5        7        3        9        4
      Small appl. and misc. housewares....      23       24       13       13       16       27       51       18
    Miscellaneous household equipment.....      66       75       24       52       43       89      165       39
    Other housing.........................     108      110       88       57       78      106      222      101
  Apparel and services....................     258      263       93      223      226      269      504      239
    Males 2 and over......................      70       72       21       56       72       80      130       64
    Females 2 and over....................      94       94       30       74       74       91      204       91
    Children under 2......................      40       40       21       25       39       41       73       37
    Other apparel products and services...      55       57       21       69       41       57       97       47
      Jewelry and watches.................      27       29        8       40       25       31       42       16
      All other apparel products and serv.      29       28       13       29       17       25       55       31
  Transportation..........................      48       50       18       26       48       50      109       39
  Health care.............................      22       26       34        5       18       23       50        7
  Entertainment...........................      86       93       26       67       70      116      185       61
    Toys, games, hobbies, and tricycles...      29       30        9       25       25       39       54       25
    Other entertainment...................      57       63       17       42       45       77      131       36
  Education...............................     120      124       18       25       47      121      409      102
  All other gifts.........................     114      124       47       80       95      169      231       74
__________________________________________
1/ Components of income and taxes are derived from "complete income reporters" only; see glossary

Note that all values have been rounded, and therefore some rounded values equal zero.
When data are not reported or are not applicable (i.e., missing values), values are set to zero.
Note also that some data are likely to have large sampling errors.	
