Table 1. By QUINTILES OF INCOME BEFORE TAXES: Average annual expenditures and characteristics of all consumer units,
Consumer Expenditure Survey, 1990

                                             All                                                                Incomplete
                   Item                    consumer   Total     Lowest    Second    Third     Fourth   Highest  reporting
 Wages and salaries.......................    24173     24173      1754      7356     17462     32262     61894         0
 Self-employment income...................     2315      2315      -181       440      1111      1568      8620         0
 Soc. Sec., priv. and gov. retirement.....     3427      3427      2683      4672      4202      2810      2769         0
 Int., divid., rent. inc., property inc...     1059      1059        92       513       924      1037      2727         0
 Unemp. and workers' compen., vet. ben....      218       218       130       189       271       320       181         0
 Pub. ass., supp. sec. inc., foodstamps...      344       344       884       581       162        57        36         0
 Regular contributions for support........      260       260       175       281       290       256       296         0
 Other income.............................       93        93       100        82        80        66       137         0
Personal taxes 1/.........................     2952      2952        83       686      1822      3326      8825         0
 Federal income taxes.....................     2319      2319        36       502      1361      2553      7126         0
 State and local income taxes.............      558       558        24       129       383       692      1561         0
 Other taxes..............................       75        75        23        55        78        81       138         0
Income after taxes 1/.....................    28937     28937      5553     13429     22678     35049     67835         0
Net change in total assets and liabilities     -441      -408       174      -213      -860       453     -1590      -646
 Net change in total assets...............     2902      2871       134      -178      1238      4346      8793      3093
 Net change in total liabilities..........     3343      3279       -40        35      2098      3893     10383      3740
Other money receipts......................      310       350       125       315       244       327       735        64
Mortgage principal paid, owned property...     -574      -569      -141      -199      -425      -708     -1371      -603
Estimated market value of owned home......    66069     63957     29585     36353     46893     65008    141691     79081
Est. monthly rental value of owned home...      398       393       182       250       316       430       786       429
Gifts of goods and services...............      911       936       484       509       652       895      2134       802
  Food....................................       95        95        31        29        46        81       289        94
  Housing.................................      232       239       100       133       163       268       532       208
    Housekeeping supplies.................       35        39        17        23        34        54        66        21
    Household textiles....................       14        15         7         7        12        21        30         7
    Appliances and misc. housewares.......       27        28        11        17        26        30        53        22
      Major appliances....................        7         7         2         5         9         7        13         4
      Small appl. and misc. housewares....       20        20         9        12        17        23        40        18
    Miscellaneous household equipment.....       50        54        22        18        35        78       118        33
    Other housing.........................      107       104        44        68        56        85       265       125
  Apparel and services....................      236       240       124       155       204       250       466       216
    Males 2 and over......................       61        64        32        47        57        65       117        51
    Females 2 and over....................       95        97        62        49        80       104       188        89
    Children under 2......................       31        31        10        19        31        38        58        31
    Other apparel products and services...       48        48        20        40        35        43       103        45
      Jewelry and watches.................       25        27        10        15        22        28        58        15
      All other apparel products and serv.       23        22        10        25        13        16        45        30
  Transportation..........................       53        56        12        17        26        25       199        38
  Health care.............................       45        49        79        47        12        27        80        21
  Entertainment...........................       66        67        24        34        62        86       130        61
    Toys, games, hobbies, and tricycles...       25        24        11        14        26        29        43        29
    Other entertainment...................       41        43        13        20        37        58        87        32
  Education...............................       96        96        55        23        61        50       294        95
  All other gifts.........................       88        92        59        70        79       107       145        70
__________________________________________
1/ Components of income and taxes are derived from "Complete income reporters" only; see glossary	
