Table 1. By QUINTILES OF INCOME BEFORE TAXES: Average annual expenditures and characteristics of all consumer units,
Consumer Expenditure Survey, 1992

                                             All                        Complete reporting of income            Incomplete
                   Item                    consumer   Total     Lowest    Second    Third     Fourth   Highest  reporting
 Wages and salaries.......................    25064     25064      1701      6974     17179     32734     66598         0
 Self-employment income...................     2490      2490      -111       473      1069      1903      9096         0
 Soc. Sec., priv. and gov. retirement.....     3887      3887      2740      5130      4947      3243      3374         0
 Int., divid., rent. inc., property inc...     1130      1130        99       502       816      1266      2960         0
 Unemp. and workers' compen., vet. ben....      341       341       154       271       458       475       344         0
 Pub. ass., supp. sec. inc., foodstamps...      471       471      1084       775       254       159        86         0
 Regular contributions for support........      336       336       215       344       252       388       479         0
 Other income.............................      136       136        98       136       134       117       194         0
Personal taxes 1/.........................     3068      3068       140       491      1709      3327      9652         0
 Federal income taxes.....................     2286      2286        69       302      1236      2428      7380         0
 State and local income taxes.............      624       624        21        99       349       726      1923         0
 Other taxes..............................      157       157        49        89       124       174       349         0
Income after taxes 1/.....................    30786     30786      5841     14115     23399     36957     73479         0
Net change in total assets and liabilities    -1529     -1767      -139     -1971      -306     -3861     -2555       -15
 Net change in total assets...............     3045      2984       303     -1220      1762      2095     11957      3429
 Net change in total liabilities..........     4574      4752       442       752      2069      5956     14512      3444
Other money receipts......................      400       426        95       307       326       311      1089       232
Mortgage principal paid, owned property...     -844      -856      -132      -264      -417      -827     -2634      -770
Estimated market value of owned home......    66530     64794     25125     40795     49135     70279    138402     77536
Est. monthly rental value of owned home...      416       410       170       271       325       469       816       452
Gifts of goods and services...............      968       978       354       534       870      1036      2093       969
  Food....................................       76        77        20        33        39        83       209        82
  Housing.................................      276       273       111       151       232       287       585       299
    Housekeeping supplies.................       39        41        13        26        39        55        71        32
    Household textiles....................       13        12         3         6        15        11        24        18
    Appliances and misc. housewares.......       31        29         5        23        26        33        58        42
      Major appliances....................        7         6         1         3         8         6        13        12
      Small appl. and misc. housewares....       24        23         4        21        17        26        45        30
    Miscellaneous household equipment.....       70        72        20        40        71        86       141        60
    Other housing.........................      123       120        70        55        80       101       292       146
  Apparel and services....................      254       269       104       173       296       320       450       204
    Males 2 and over......................       78        84        26        46        89       126       130        58
    Females 2 and over....................       87        93        40        60       112        89       164        68
    Children under 2......................       37        38        13        25        38        51        61        33
    Other apparel products and services...       53        55        25        42        56        54        95        46
      Jewelry and watches.................       29        29        12        18        26        24        64        30
      All other apparel products and serv.       24        26        13        24        30        30        31        16
  Transportation..........................       51        52        10        18        90        38       104        44
  Health care.............................       24        24        20        14        12        40        36        23
  Entertainment...........................       73        74        20        62        68        76       146        68
    Toys, games, hobbies, and tricycles...       28        28        10        21        28        34        49        28
    Other entertainment...................       45        46        11        40        41        42        96        40
  Education...............................      107        99        13        12        43        77       351       153
  All other gifts.........................      106       109        56        71        90       114       211        95
__________________________________________
1/ Components of income and taxes are derived from "complete income reporters" only; see glossary	
